product_type,sku,price,availability,units_sold,revenue,customer_demographics,stock_level,lead_times_days,order_qty,shipping_time_days,shipping_carrier,shipping_cost,supplier_name,location,lead_time_days,production_volume,mfg_lead_time_days,mfg_cost,inspection_result,defect_rate,transport_mode,route,total_cost
haircare,SKU74,3.17,64,904.0,5709.95,Female,41.0,6.0,1.0,5.0,Carrier A,5.24,Supplier 4,Delhi,1.0,919.0,9.0,80.58,Fail,0.3966,Rail,Route A,341.55
skincare,SKU75,93.0,29,106.0,1889.07,Non-binary,16.0,20.0,56.0,10.0,Carrier C,2.47,Supplier 1,Chennai,25.0,759.0,11.0,48.06,Pass,2.0301,Air,Route C,873.13
haircare,SKU76,69.11,23,241.0,5328.38,Male,38.0,1.0,22.0,10.0,Carrier A,7.05,Supplier 2,Bangalore,25.0,985.0,24.0,64.32,Pending,2.18,Rail,Route A,997.41
haircare,SKU77,57.45,14,359.0,2483.76,Unknown,96.0,28.0,57.0,4.0,Carrier B,6.78,Supplier 1,Kolkata,26.0,334.0,5.0,42.95,Pass,3.0551,Road,Route B,852.57
haircare,SKU78,6.31,50,946.0,1292.46,Unknown,5.0,4.0,51.0,5.0,Carrier B,8.47,Supplier 5,Mumbai,25.0,858.0,21.0,71.13,Pending,4.0969,Sea,Route C,323.59
haircare,SKU79,57.06,56,198.0,7888.72,Non-binary,31.0,25.0,20.0,1.0,Carrier B,6.5,Supplier 3,Bangalore,5.0,228.0,12.0,57.87,Pending,0.1659,Air,Route C,351.5
skincare,SKU80,91.13,75,872.0,8651.67,Unknown,39.0,14.0,41.0,2.0,Carrier C,2.83,Supplier 3,Chennai,8.0,202.0,5.0,76.96,Fail,2.8497,Sea,Route B,787.78
haircare,SKU81,72.82,9,774.0,4384.41,Unknown,48.0,6.0,8.0,5.0,Carrier B,4.07,Supplier 3,Delhi,28.0,698.0,1.0,19.79,Pending,2.5475,Rail,Route B,276.78
skincare,SKU82,17.03,13,336.0,2943.38,Unknown,42.0,19.0,72.0,1.0,Carrier A,4.71,Supplier 2,Mumbai,6.0,955.0,26.0,4.47,Pending,4.1379,Road,Route C,589.98
haircare,SKU83,68.91,82,663.0,2411.75,Unknown,65.0,24.0,7.0,8.0,Carrier B,4.95,Supplier 1,Bangalore,20.0,443.0,5.0,97.73,Fail,0.773,Road,Route A,682.97
haircare,SKU84,89.1,99,618.0,2048.29,Unknown,73.0,26.0,80.0,10.0,Carrier A,8.38,Supplier 5,Chennai,24.0,589.0,22.0,33.81,Pass,4.8435,Air,Route B,465.46
cosmetics,SKU85,76.96,83,25.0,8684.61,Female,15.0,18.0,66.0,2.0,Carrier C,8.25,Supplier 5,Chennai,4.0,211.0,2.0,69.93,Fail,1.3744,Road,Route B,842.69
skincare,SKU86,20.0,18,223.0,1229.59,Unknown,32.0,14.0,22.0,6.0,Carrier B,1.45,Supplier 1,Mumbai,4.0,569.0,18.0,74.61,Pass,2.0515,Rail,Route A,264.25
haircare,SKU87,80.41,24,79.0,5133.85,Male,5.0,7.0,55.0,10.0,Carrier A,6.58,Supplier 3,Chennai,27.0,523.0,17.0,28.7,Fail,3.6937,Sea,Route B,879.36
cosmetics,SKU88,75.27,58,737.0,9444.74,Male,60.0,18.0,85.0,7.0,Carrier A,3.8,Supplier 2,Mumbai,21.0,953.0,11.0,68.18,Pending,0.7222,Sea,Route A,103.92
cosmetics,SKU89,97.76,10,134.0,5924.68,Unknown,90.0,1.0,27.0,8.0,Carrier B,9.93,Supplier 1,Kolkata,23.0,370.0,11.0,46.6,Pending,1.9077,Rail,Route B,517.5
skincare,SKU90,13.88,56,320.0,9592.63,Non-binary,66.0,18.0,96.0,7.0,Carrier B,7.67,Supplier 3,Bangalore,8.0,585.0,8.0,85.68,Pass,1.2194,Rail,Route B,990.08
cosmetics,SKU91,62.11,90,916.0,1935.21,Male,98.0,22.0,85.0,7.0,Carrier B,7.47,Supplier 4,Delhi,5.0,207.0,28.0,39.77,Pending,0.626,Rail,Route B,996.78
cosmetics,SKU92,47.71,44,276.0,2100.13,Male,90.0,25.0,10.0,8.0,Carrier B,4.47,Supplier 2,Mumbai,4.0,671.0,29.0,62.61,Pass,0.3334,Rail,Route B,230.09
haircare,SKU93,69.29,88,114.0,4531.4,Unknown,63.0,17.0,66.0,1.0,Carrier C,7.01,Supplier 4,Chennai,21.0,824.0,20.0,35.63,Fail,4.1658,Air,Route A,823.52
cosmetics,SKU94,3.04,97,987.0,7888.36,Unknown,77.0,26.0,72.0,9.0,Carrier B,6.94,Supplier 2,Delhi,12.0,908.0,14.0,60.39,Pass,1.4636,Rail,Route B,846.67
haircare,SKU95,77.9,65,672.0,7386.36,Unknown,15.0,14.0,26.0,9.0,Carrier B,8.63,Supplier 4,Mumbai,18.0,450.0,26.0,58.89,Pending,1.2109,Air,Route A,778.86
cosmetics,SKU96,24.42,29,324.0,7698.42,Non-binary,67.0,2.0,32.0,3.0,Carrier C,5.35,Supplier 3,Mumbai,28.0,648.0,28.0,17.8,Pending,3.872,Road,Route A,188.74
haircare,SKU97,3.53,56,62.0,4370.92,Male,46.0,19.0,4.0,9.0,Carrier A,7.9,Supplier 4,Mumbai,10.0,535.0,13.0,65.77,Fail,3.3762,Road,Route A,540.13
skincare,SKU98,19.75,43,913.0,8525.95,Female,53.0,1.0,27.0,7.0,Carrier B,1.41,Supplier 5,Chennai,28.0,581.0,9.0,5.6,Pending,2.9081,Rail,Route A,882.2
haircare,SKU99,68.52,17,627.0,9185.19,Unknown,55.0,8.0,59.0,6.0,Carrier B,1.31,Supplier 2,Chennai,29.0,921.0,2.0,38.07,Fail,0.346,Rail,Route B,210.74
